County,Website
Alameda,http://www.acphd.org/2019-ncov.aspx
Alpine,http://alpinecountyca.gov/AlertCenter.aspx
Amador,https://www.amadorgov.org/services/covid-19
Berkeley,https://www.cityofberkeley.info/coronavirus
Butte,http://www.buttecounty.net/publichealth/Home.aspx
Calaveras,https://covid19.calaverasgov.us/
Colusa,http://www.countyofcolusa.org/index.aspx?NID=99
Contra Costa,https://www.coronavirus.cchealth.org/
Del Norte,http://www.co.del-norte.ca.us/departments/health-human-services/public-health
El Dorado,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx
Fresno,https://www.co.fresno.ca.us/departments/public-health/covid-19
Glenn,https://www.countyofglenn.net/dept/health-human-services/public-health/covid19
Humboldt,https://humboldtgov.org/2707/COVID-Test-Results
Imperial,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/
Inyo,https://www.inyocounty.us/covid-19/local-updates
Kern,https://kernpublichealth.com/2019-novel-coronavirus/
Kings,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19/-fsiteid-1
Lake,http://health.co.lake.ca.us/Coronavirus.htm
Lassen,http://www.co.lassen.ca.us/dept/public-health/public-health
Long Beach,http://www.longbeach.gov/health/diseases-and-condition/information-on/coronavirus/faq/
Los Angeles,http://publichealth.lacounty.gov/media/Coronavirus/locations.htm
Madera,https://www.maderacounty.com/government/public-health/health-updates/corona-virus
Marin,https://coronavirus.marinhhs.org/
Mariposa,https://www.mariposacounty.org/1592/COVID-19-Information
Mendocino,https://www.mendocinocounty.org/community/novel-coronavirus
Merced,http://www.co.merced.ca.us/82/Public-Health
Modoc,https://modochealthservices.org/corona-virus
Mono,https://coronavirus.monocounty.ca.gov/
Monterey,https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19
Napa,https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/
Nevada,https://www.mynevadacounty.com/2924/Coronavirus
Orange,https://occovid19.ochealthinfo.com/coronavirus-in-oc
Pasadena,https://www.cityofpasadena.net/public-health/news-announcements/information-on-covid-19/
Placer,https://www.placer.ca.gov/6448/Cases-in-Placer
Plumas,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19
Riverside,https://www.rivcoph.org/coronavirus
San Benito,http://hhsa.cosb.us/divisions/public-health/
San Bernardino,http://wp.sbcounty.gov/dph/coronavirus/
San Diego,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html
San Francisco,https://www.sfdph.org/dph/alerts/coronavirus.asp
San Joaquin,http://www.sjcphs.org/coronavirus.aspx
San Luis Obispo,https://www.emergencyslo.org/en/positive-case-details.aspx
San Mateo,https://www.smchealth.org/coronavirus
Santa Barbara,https://publichealthsbc.org/status-reports/
Santa Clara,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx
Santa Cruz,http://www.santacruzhealth.com/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx
Shasta,https://www.co.shasta.ca.us/covid-19/overview
Sierra,http://sierracounty.ca.gov/582/Coronavirus-COVID-19
Siskiyou,http://www.co.siskiyou.ca.us/content/public-health-division
Solano,http://www.solanocounty.com/depts/ph/ncov.asp
Sonoma,https://socoemergency.org/
Stanislaus,http://www.schsa.org/PublicHealth/pages/corona-virus/
Sutter,https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus
Tehama,https://www.tehamacohealthservices.net/news-events/news/
Trinity,https://www.trinitycounty.org/Public-Health
Tulare,https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/
Tuolumne,https://www.tuolumnecounty.ca.gov/250/Public-Health
Ventura,https://www.vcemergency.com/
Yolo,https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019
Yuba,https://www.yuba.org/coronavirus/
