,Apr_02_2020
alameda,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
alpine,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
amador,"{'Cases': '3', 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
berkeley,"{'Cases': '23', 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
butte,"{'Cases': '9', 'Tests': 0, 'Deaths': '0', 'Recovered': 0}"
calaveras,"{'Cases': '3', 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
colusa,"{'Cases': '1', 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
contra_costa,"{'Cases': '276', 'Tests': 0, 'Deaths': '3', 'Recovered': 0}"
county,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
del_norte,"{'Cases': '0', 'Tests': '78', 'Deaths': 0, 'Recovered': 0}"
el_dorado,"{'Cases': '18', 'Tests': '764', 'Deaths': '0', 'Recovered': 0}"
fresno,"{'Cases': 45, 'Tests': '1650', 'Deaths': 0, 'Recovered': 0}"
glenn,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
humboldt,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
imperial,"{'Cases': '43', 'Tests': '271', 'Deaths': 0, 'Recovered': 0}"
inyo,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
kern,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
kings,"{'Cases': '5', 'Tests': '108', 'Deaths': 0, 'Recovered': 0}"
lake,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
lassen,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
long_beach,"{'Cases': '133', 'Tests': 0, 'Deaths': '1', 'Recovered': 0}"
los_angeles,"{'Cases': '3352', 'Tests': 0, 'Deaths': '65', 'Recovered': 0}"
madera,"{'Cases': 25, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
marin,"{'Cases': '108', 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
mariposa,"{'Cases': '0', 'Tests': '0', 'Deaths': '51', 'Recovered': 0}"
mendocino,"{'Cases': '4', 'Tests': 0, 'Deaths': '235', 'Recovered': 0}"
merced,"{'Cases': 12, 'Tests': 61, 'Deaths': 0, 'Recovered': 0}"
modoc,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
mono,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
monterey,"{'Cases': '48', 'Tests': '561', 'Deaths': '2', 'Recovered': 0}"
napa,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
nevada,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
orange,"{'Cases': '656', 'Tests': 0, 'Deaths': '13', 'Recovered': 0}"
pasadena,"{'Cases': 37, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
placer,"{'Cases': '90', 'Tests': 0, 'Deaths': '2', 'Recovered': 0}"
plumas,"{'Cases': '1', 'Tests': '64', 'Deaths': 0, 'Recovered': 0}"
riverside,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
san_benito,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
san_bernardino,"{'Cases': '254', 'Tests': 0, 'Deaths': '6', 'Recovered': 0}"
san_diego,"{'Cases': '849', 'Tests': 0, 'Deaths': '15', 'Recovered': 0}"
san_francisco,"{'Cases': '450', 'Tests': 0, 'Deaths': '7', 'Recovered': 0}"
san_joaquin,"{'Cases': '173', 'Tests': 0, 'Deaths': '9', 'Recovered': 0}"
san_luis_obispo,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
san_mateo,"{'Cases': 'S', 'Tests': 'E', 'Deaths': 'E', 'Recovered': ' '}"
santa_barbara,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
santa_clara,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
santa_cruz,"{'Cases': '57', 'Tests': 0, 'Deaths': '1', 'Recovered': 0}"
shasta,"{'Cases': '7', 'Tests': 0, 'Deaths': '1', 'Recovered': 0}"
sierra,"{'Cases': ' 0', 'Tests': '7', 'Deaths': 0, 'Recovered': 0}"
siskiyou,"{'Cases': '3', 'Tests': '89', 'Deaths': '0', 'Recovered': 0}"
solano,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
sonoma,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
stanislaus,"{'Cases': '44', 'Tests': 1323, 'Deaths': '0', 'Recovered': 0}"
sutter,"{'Cases': '14', 'Tests': '348', 'Deaths': '1', 'Recovered': 0}"
tehama,"{'Cases': 'V', 'Tests': 'S', 'Deaths': 'I', 'Recovered': 'U'}"
trinity,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
tulare,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
tuolumne,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
ventura,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
yolo,"{'Cases': 0, 'Tests': 0, 'Deaths': 0, 'Recovered': 0}"
yuba,"{'Cases': '8', 'Tests': '348', 'Deaths': '0', 'Recovered': 0}"
